names,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9
Euro Truck Simulator 2,0.3741496598639456,0.018140589569160998,0.17913832199546487,0.10204081632653061,0.09523809523809523,0.17233560090702948,0.006802721088435374,0.02040816326530612,0.0045351473922902496,0.027210884353741496
Outlast,0.06356589147286822,0.0031007751937984496,0.12713178294573643,0.08062015503875969,0.18294573643410852,0.017054263565891473,0.018604651162790697,0.17984496124031008,0.27906976744186046,0.04806201550387597
BattleBlock Theater®,0.009345794392523364,0.08037383177570094,0.2616822429906542,0.016822429906542057,0.024299065420560748,0.2336448598130841,0.16448598130841122,0.001869158878504673,0.020560747663551402,0.18691588785046728
"Papers, Please",0.03398058252427184,0.038834951456310676,0.02912621359223301,0.024271844660194174,0.4368932038834951,0.10194174757281553,0.043689320388349516,0.014563106796116505,0.22330097087378642,0.05339805825242718
Dying Light: Enhanced Edition,0.038926174496644296,0.042953020134228186,0.2644295302013423,0.11946308724832215,0.11006711409395974,0.09395973154362416,0.009395973154362415,0.1597315436241611,0.1395973154362416,0.021476510067114093
Game Dev Tycoon,0.0744336569579288,0.045307443365695796,0.3786407766990291,0.016181229773462782,0.01779935275080906,0.059870550161812294,0.008090614886731391,0.02912621359223301,0.20388349514563106,0.16666666666666666
Counter-Strike: Source,0.3018867924528302,0.33254716981132076,0.049528301886792456,0.08962264150943396,0.025943396226415096,0.0023584905660377358,0.018867924528301886,0.0589622641509434,0.054245283018867926,0.0660377358490566
Nuclear Throne,0.09602194787379972,0.03292181069958848,0.0877914951989026,0.0013717421124828531,0.15089163237311384,0.00823045267489712,0.26474622770919065,0.21536351165980797,0.02194787379972565,0.12071330589849108
The Forest,0.09009009009009009,0.08408408408408409,0.024024024024024024,0.06906906906906907,0.003003003003003003,0.006006006006006006,0.2912912912912913,0.0960960960960961,0.14714714714714713,0.1891891891891892
Kingdom Rush  - Tower Defense,0.13662790697674418,0.3008720930232558,0.14680232558139536,0.09593023255813954,0.0029069767441860465,0.18313953488372092,0.015988372093023256,0.02616279069767442,0.023255813953488372,0.06831395348837209
Crypt of the NecroDancer,0.00967741935483871,0.025806451612903226,0.03064516129032258,0.13870967741935483,0.0064516129032258064,0.20806451612903226,0.054838709677419356,0.15161290322580645,0.18225806451612903,0.19193548387096773
The Wolf Among Us,0.00975609756097561,0.05853658536585366,0.1975609756097561,0.05,0.3475609756097561,0.041463414634146344,0.22073170731707317,0.006097560975609756,0.06341463414634146,0.004878048780487805
Shovel Knight: Treasure Trove,0.10068027210884353,0.2857142857142857,0.04625850340136054,0.1727891156462585,0.12789115646258503,0.013605442176870748,0.024489795918367346,0.09387755102040816,0.021768707482993196,0.11292517006802721
The Binding of Isaac: Rebirth,0.013015184381778741,0.31670281995661603,0.13882863340563992,0.06941431670281996,0.18655097613882862,0.16919739696312364,0.01735357917570499,0.008676789587852495,0.04772234273318872,0.03253796095444685
Grimm,0.006042296072507553,0.06797583081570997,0.36253776435045315,0.14350453172205438,0.0256797583081571,0.022658610271903322,0.019637462235649546,0.052870090634441085,0.1283987915407855,0.17069486404833836
A Hat in Time,0.10514541387024609,0.10067114093959731,0.0022371364653243847,0.0447427293064877,0.040268456375838924,0.049217002237136466,0.08501118568232663,0.09395973154362416,0.008948545861297539,0.4697986577181208
The Talos Principle,0.07556675062972293,0.005037783375314861,0.05037783375314862,0.12846347607052896,0.027707808564231738,0.12090680100755667,0.17632241813602015,0.010075566750629723,0.05793450881612091,0.34760705289672544
The Walking Dead: Season Two,0.016592920353982302,0.14491150442477876,0.17699115044247787,0.09292035398230089,0.07964601769911504,0.02765486725663717,0.17920353982300885,0.07743362831858407,0.004424778761061947,0.2002212389380531
Ori and the Blind Forest,0.03618421052631579,0.013157894736842105,0.006578947368421052,0.3026315789473684,0.04276315789473684,0.09868421052631579,0.24342105263157895,0.13815789473684212,0.06578947368421052,0.05263157894736842
One Finger Death Punch,0.012802275960170697,0.015647226173541962,0.09815078236130868,0.007112375533428165,0.155049786628734,0.18776671408250356,0.25889046941678523,0.20483641536273114,0.04551920341394026,0.01422475106685633
Subnautica,0.03804347826086957,0.08423913043478261,0.07608695652173914,0.41304347826086957,0.021739130434782608,0.18478260869565216,0.010869565217391304,0.1331521739130435,0.03260869565217391,0.005434782608695652
American Truck Simulator,0.017130620985010708,0.3533190578158458,0.16916488222698073,0.04925053533190578,0.006423982869379015,0.019271948608137045,0.08993576017130621,0.0021413276231263384,0.02569593147751606,0.2676659528907923
Broforce,0.15163934426229508,0.020491803278688523,0.10860655737704918,0.18032786885245902,0.06557377049180328,0.036885245901639344,0.006147540983606557,0.1413934426229508,0.018442622950819672,0.27049180327868855
SOMA,0.17202797202797201,0.16223776223776223,0.0951048951048951,0.11468531468531469,0.002797202797202797,0.33986013986013985,0.043356643356643354,0.046153846153846156,0.005594405594405594,0.01818181818181818
Tabletop Simulator,0.3226744186046512,0.061046511627906974,0.19476744186046513,0.11046511627906977,0.125,0.06395348837209303,0.029069767441860465,0.046511627906976744,0.040697674418604654,0.005813953488372093
Mini Metro,0.0071090047393364926,0.2476303317535545,0.14928909952606634,0.06990521327014218,0.013033175355450236,0.2156398104265403,0.005924170616113744,0.1066350710900474,0.054502369668246446,0.13033175355450238
The Room,0.013719512195121951,0.021341463414634148,0.15548780487804878,0.25,0.0625,0.22713414634146342,0.19207317073170732,0.010670731707317074,0.05030487804878049,0.01676829268292683
RimWorld,0.001336898395721925,0.05080213903743316,0.026737967914438502,0.008021390374331552,0.04144385026737968,0.28342245989304815,0.00267379679144385,0.32620320855614976,0.12433155080213903,0.13502673796791445
INSIDE,0.14347826086956522,0.002173913043478261,0.03260869565217391,0.2,0.008695652173913044,0.0891304347826087,0.1782608695652174,0.18043478260869567,0.06956521739130435,0.09565217391304348
Enter the Gungeon,0.15821501014198783,0.012170385395537525,0.02434077079107505,0.2231237322515213,0.002028397565922921,0.04462474645030426,0.0486815415821501,0.43204868154158216,0.034482758620689655,0.02028397565922921
Duck Game,0.03208556149732621,0.0427807486631016,0.0944741532976827,0.20320855614973263,0.1140819964349376,0.008912655971479501,0.0392156862745098,0.11051693404634581,0.016042780748663103,0.33868092691622104
The Expendabros,0.00468384074941452,0.00702576112412178,0.00234192037470726,0.0234192037470726,0.42857142857142855,0.17330210772833723,0.17798594847775176,0.04215456674473068,0.0936768149882904,0.0468384074941452
Portal Stories: Mel,0.017985611510791366,0.11151079136690648,0.02877697841726619,0.49640287769784175,0.007194244604316547,0.04316546762589928,0.03597122302158273,0.10431654676258993,0.07553956834532374,0.07913669064748201
Life is Strange - Episode 1,0.10303030303030303,0.09696969696969697,0.09090909090909091,0.07474747474747474,0.00404040404040404,0.23434343434343435,0.01818181818181818,0.00808080808080808,0.12525252525252525,0.24444444444444444
Don't Starve Together,0.012658227848101266,0.0379746835443038,0.06329113924050633,0.05063291139240506,0.43037974683544306,0.13291139240506328,0.006329113924050633,0.0949367088607595,0.02531645569620253,0.14556962025316456
CLANNAD,0.060714285714285714,0.21428571428571427,0.03214285714285714,0.02857142857142857,0.3,0.010714285714285714,0.06428571428571428,0.15,0.02142857142857143,0.11785714285714285
LEGO® Star Wars™ - The Complete Saga,0.07598039215686274,0.09803921568627451,0.21568627450980393,0.012254901960784314,0.18627450980392157,0.22794117647058823,0.08088235294117647,0.022058823529411766,0.049019607843137254,0.031862745098039214
STAR WARS™ Empire at War - Gold Pack,0.1821705426356589,0.006459948320413436,0.05167958656330749,0.23772609819121446,0.029715762273901807,0.028423772609819122,0.27906976744186046,0.003875968992248062,0.0103359173126615,0.17054263565891473
Everlasting Summer,0.1827956989247312,0.021505376344086023,0.2007168458781362,0.16487455197132617,0.010752688172043012,0.17204301075268819,0.06451612903225806,0.007168458781362007,0.14336917562724014,0.03225806451612903
NEKOPARA Vol. 1,0.10526315789473684,0.016333938294010888,0.003629764065335753,0.009074410163339383,0.2540834845735027,0.018148820326678767,0.24319419237749546,0.2885662431941924,0.014519056261343012,0.047186932849364795
Finding Paradise,0.08530805687203792,0.014218009478672985,0.24881516587677724,0.04265402843601896,0.27488151658767773,0.023696682464454975,0.061611374407582936,0.12559241706161137,0.035545023696682464,0.08767772511848342
HuniePop,0.10429447852760736,0.11042944785276074,0.012269938650306749,0.05521472392638037,0.09815950920245399,0.04294478527607362,0.12883435582822086,0.3803680981595092,0.03067484662576687,0.03680981595092025
Keep Talking and Nobody Explodes,0.05643564356435644,0.013861386138613862,0.009900990099009901,0.02277227722772277,0.0039603960396039604,0.2871287128712871,0.007920792079207921,0.020792079207920793,0.2881188118811881,0.2891089108910891
Besiege,0.049944506104328525,0.09433962264150944,0.06104328523862375,0.32519422863485015,0.022197558268590455,0.011098779134295227,0.0011098779134295228,0.27192008879023305,0.0244173140954495,0.13873473917869034
Batman: Arkham Asylum Game of the Year Edition,0.012307692307692308,0.010769230769230769,0.10153846153846154,0.24769230769230768,0.11692307692307692,0.1276923076923077,0.02,0.27692307692307694,0.023076923076923078,0.06307692307692307
Eternal Senia,0.26150121065375304,0.04116222760290557,0.014527845036319613,0.04600484261501211,0.08232445520581114,0.25181598062953997,0.1234866828087167,0.031476997578692496,0.021791767554479417,0.12590799031476999
Trine 2: Complete Story,0.19111111111111112,0.28444444444444444,0.05333333333333334,0.27111111111111114,0.022222222222222223,0.0044444444444444444,0.035555555555555556,0.02666666666666667,0.07111111111111111,0.04
Plants vs. Zombies GOTY Edition,0.023752969121140142,0.030878859857482184,0.040380047505938245,0.004750593824228029,0.21377672209026127,0.05938242280285035,0.1543942992874109,0.2992874109263658,0.007125890736342043,0.166270783847981
Downwell,0.1043956043956044,0.12637362637362637,0.14285714285714285,0.005494505494505495,0.09706959706959707,0.27106227106227104,0.0018315018315018315,0.1575091575091575,0.009157509157509158,0.08424908424908426
Fran Bow,0.001392757660167131,0.04456824512534819,0.23676880222841226,0.181058495821727,0.1573816155988858,0.04735376044568245,0.008356545961002786,0.006963788300835654,0.10724233983286909,0.20891364902506965
Black Mesa,0.010638297872340425,0.006382978723404255,0.32340425531914896,0.13404255319148936,0.031914893617021274,0.02553191489361702,0.00425531914893617,0.10425531914893617,0.3127659574468085,0.04680851063829787
Hollow Knight,0.006787330316742082,0.01583710407239819,0.17420814479638008,0.00904977375565611,0.25565610859728505,0.11538461538461539,0.04524886877828054,0.038461538461538464,0.17194570135746606,0.167420814479638
Hook,0.2267156862745098,0.15441176470588236,0.22303921568627452,0.006127450980392157,0.013480392156862746,0.00980392156862745,0.00857843137254902,0.30392156862745096,0.014705882352941176,0.0392156862745098
Ultimate Chicken Horse,0.049217002237136466,0.09395973154362416,0.013422818791946308,0.0044742729306487695,0.2639821029082774,0.22595078299776286,0.27740492170022374,0.008948545861297539,0.03803131991051454,0.024608501118568233
Ori and the Blind Forest: Definitive Edition,0.07249466950959488,0.01279317697228145,0.0042643923240938165,0.02771855010660981,0.15778251599147122,0.042643923240938165,0.16204690831556504,0.08955223880597014,0.39658848614072495,0.03411513859275053
Undertale,0.014634146341463415,0.11219512195121951,0.041463414634146344,0.1975609756097561,0.15121951219512195,0.12926829268292683,0.1,0.08048780487804878,0.13658536585365855,0.036585365853658534
Portal,0.1337719298245614,0.015350877192982455,0.08771929824561403,0.07675438596491228,0.3026315789473684,0.06359649122807018,0.017543859649122806,0.10964912280701754,0.006578947368421052,0.18640350877192982
Garry's Mod,0.03203342618384401,0.05988857938718663,0.0403899721448468,0.001392757660167131,0.005571030640668524,0.033426183844011144,0.40947075208913647,0.002785515320334262,0.41086350974930363,0.004178272980501393
Rabi-Ribi,0.0018796992481203006,0.06578947368421052,0.03195488721804511,0.005639097744360902,0.020676691729323307,0.4680451127819549,0.011278195488721804,0.06390977443609022,0.08834586466165413,0.2424812030075188
Princess Remedy in a World of Hurt,0.0022471910112359553,0.01348314606741573,0.3325842696629214,0.035955056179775284,0.02247191011235955,0.11235955056179775,0.04044943820224719,0.05393258426966292,0.1146067415730337,0.27191011235955054
Stronghold Crusader HD,0.11648079306071871,0.2577447335811648,0.15117719950433706,0.026022304832713755,0.12763320941759604,0.024783147459727387,0.007434944237918215,0.13878562577447337,0.12143742255266418,0.028500619578686492
TY the Tasmanian Tiger,0.021164021164021163,0.047619047619047616,0.044444444444444446,0.056084656084656084,0.31322751322751324,0.0010582010582010583,0.3142857142857143,0.042328042328042326,0.1544973544973545,0.005291005291005291
STEINS;GATE,0.006036217303822937,0.01609657947686117,0.096579476861167,0.11670020120724346,0.4124748490945674,0.06639839034205232,0.12474849094567404,0.11267605633802817,0.018108651911468814,0.030181086519114688
